regio3,street,livingSpace,baseRent,totalRent,noRooms,floor,typeOfFlat,yearConstructed
Tiergarten,Klara Franke Strasse,11.0,640.0,690.0,1.0,5.0,apartment,
Mitte,Invalidenstrasse,68.58,1577.34,1783.08,2.0,2.0,,1915.0
Spandau,Wasserwerkstr.,54.07,520.75,685.97,1.5,6.0,apartment,1964.0
Prenzlauer_Berg_Prenzlauer_Berg,no_information,180.0,3700.0,,4.0,3.0,loft,1900.0
Adlershof_Treptow,Newtonstrasse,54.0,351.0,475.2,2.0,2.0,apartment,2019.0
Friedenau_Schöneberg,Rubensstra&szlig;e,57.33,503.87,627.13,2.0,1.0,apartment,1900.0
Alt_Hohenschönhausen_Hohenschönhausen,Gro&szlig;e-Leege-Str.,51.0,365.37,489.2,2.0,1.0,ground_floor,1930.0
Mitte,no_information,106.1,2750.0,2990.0,4.0,5.0,,2016.0
Wedding,M&uuml;llerstr.,40.34,575.0,700.0,2.0,4.0,apartment,1900.0
Prenzlauer_Berg_Prenzlauer_Berg,Stra&szlig;burgerstr,81.5,1599.0,1734.0,3.0,2.0,,
Mitte,Wadzeckstra&szlig;e,19.5,560.0,660.0,1.0,6.0,,
Schöneberg,Ansbacher Stra&szlig;e,62.0,1210.0,1350.0,2.0,1.0,apartment,
Friedrichshain,Simon-Dach-Stra&szlig;e,78.88,625.0,750.0,2.0,0.0,ground_floor,1920.0
Wedding,Kiautschoustra&szlig;e,59.95,629.0,714.0,2.0,1.0,apartment,1900.0
Weißensee,Brodenbacher Weg,160.33,1763.63,2244.62,7.0,5.0,apartment,2019.0
Friedrichsfelde_Lichtenberg,Allee der Kosmonauten,38.0,510.0,620.0,1.0,,apartment,2016.0
Karlshorst_Lichtenberg,no_information,68.0,745.0,845.0,2.5,,roof_storey,1997.0
Prenzlauer_Berg_Prenzlauer_Berg,"Malm&ouml;er Stra&szlig;e, WE",164.0,2952.36,3362.41,4.0,,apartment,2019.0
Charlottenburg,Meinekestra&szlig;e,155.12,2481.92,2992.67,4.0,7.0,apartment,1992.0
Siemensstadt_Spandau,Nonnendammallee,81.14,668.0,899.0,3.0,4.0,,1957.0
Tiergarten,Ufnaustra&szlig;e,57.95,973.0,1100.0,2.0,1.0,apartment,1905.0
Tiergarten,Gabriele Tergit Promenade,119.0,2215.0,2700.0,4.0,6.0,apartment,2019.0
Wilmersdorf,Bundesallee,30.0,400.0,490.0,1.0,1.0,,1968.0
Oberschöneweide_Köpenick,Slabystra&szlig;e,20.0,340.0,480.0,1.0,4.0,apartment,
Pankow,Damerowstra&szlig;e,58.3,1100.0,1190.0,2.0,2.0,apartment,1905.0
Hellersdorf,Havell&auml;nder Ring,35.49,439.0,526.0,1.0,3.0,apartment,1985.0
Prenzlauer_Berg_Prenzlauer_Berg,Kors&ouml;rer Str.,30.44,625.0,700.0,1.0,,apartment,1902.0
Neukölln,Kiehlufer,29.6,491.0,559.0,1.0,3.0,apartment,1900.0
Tiergarten,Alte Potsdamer Stra&szlig;e,87.55,1488.0,1882.0,3.0,5.0,apartment,1998.0
Spandau,Burbacher Weg,56.92,473.01,649.92,2.0,0.0,ground_floor,1964.0
Grünau_Köpenick,Regattastra&szlig;e,96.47,1015.0,1270.0,3.0,0.0,roof_storey,1999.0
Neukölln,Bendastra&szlig;e,54.0,1080.0,1160.0,2.0,,apartment,
Köpenick,Luisenstra&szlig;e,80.86,800.0,1000.0,3.0,0.0,ground_floor,1900.0
Mitte,Linienstra&szlig;e,307.0,7000.0,7850.0,5.0,0.0,maisonette,1900.0
Charlottenburg,Marburger Str,247.0,2964.0,3704.0,7.0,5.0,roof_storey,1895.0
Johannisthal_Treptow,Sterndamm,57.0,570.0,700.0,2.0,3.0,apartment,1920.0
Kreuzberg,Hallesche Stra&szlig;e,76.0,1596.0,1961.0,3.0,5.0,apartment,2017.0
Lichterfelde_Steglitz,no_information,29.4,227.85,374.85,1.0,,half_basement,1904.0
Tiergarten,Bredowstra&szlig;e,45.0,900.0,900.0,1.5,5.0,apartment,
Köpenick,An der Filmfabrik,103.55,1201.0,1594.0,3.0,,apartment,
Marzahn,B&auml;rensteinstr.,61.85,440.25,660.0,2.0,3.0,apartment,1980.0
Grünau_Köpenick,Dahmestra&szlig;e,72.27,867.24,1067.24,2.0,0.0,ground_floor,2017.0
Konradshöhe_Reinickendorf,no_information,62.0,800.0,900.0,2.0,,apartment,
Karow_Weißensee,Pfannschmitdtstr.,74.49,749.0,953.0,3.0,1.0,apartment,1997.0
Heinersdorf_Weißensee,Tino-Schwierzina-Stra&szlig;e,21.0,505.0,655.0,1.0,3.0,apartment,2016.0
Tiergarten,Flottwellstra&szlig;e,92.94,1301.16,1543.16,3.0,1.0,apartment,2015.0
Wilmersdorf,Bregenzer Stra&szlig;e,100.1,1084.59,1250.75,3.0,4.0,,1914.0
Neukölln,Fuldastra&szlig;e,84.72,1299.0,,3.0,1.0,apartment,1900.0
Schöneberg,Rosenheimer Stra&szlig;e,56.13,898.0,1048.0,2.0,0.0,raised_ground_floor,1956.0
Wedding,Triftstrasse,50.0,695.0,795.0,1.0,0.0,ground_floor,1904.0
Wilmersdorf,Blissestr.,103.0,1350.0,1560.0,3.0,1.0,apartment,1906.0
Charlottenburg,no_information,129.0,1300.0,1442.0,4.0,1.0,apartment,1897.0
Charlottenburg,Reichsstr.,97.79,960.0,1240.0,3.0,4.0,apartment,1954.0
Tiergarten,Klara Franke Stra&szlig;e,10.0,640.0,690.0,1.0,1.0,apartment,
Lichterfelde_Steglitz,Platz des 4 Juli,29.2,409.0,499.0,1.0,1.0,,1937.0
Mitte,Bauhofstr.,109.0,1750.0,2050.0,3.0,1.0,apartment,2012.0
Spandau,Germersheimer Weg,46.02,394.85,576.58,1.5,3.0,apartment,1961.0
Waidmannslust_Reinickendorf,Zabel-Kr&uuml;ger-Damm,63.0,469.0,699.0,2.0,4.0,apartment,1967.0
Reinickendorf,Pankower Allee,62.0,410.0,510.0,2.0,2.0,apartment,1909.0
Buch_Pankow,Wiltbergstra&szlig;e,70.34,660.0,892.0,2.0,1.0,apartment,1912.0
Friedrichshain,no_information,120.0,5000.0,6500.0,3.5,5.0,roof_storey,
Mitte,R&uuml;ckerstra&szlig;e,81.88,1750.0,2000.0,3.0,3.0,apartment,1995.0
Tiergarten,Rostocker Str.,70.0,770.0,920.0,2.0,4.0,apartment,1893.0
Lichtenrade_Tempelhof,Alt-Lichtenrade,20.0,199.0,,1.0,,other,
Charlottenburg,Kurf&uuml;rstendamm,92.0,1850.0,,2.0,2.0,apartment,1903.0
Wittenau_Reinickendorf,Drostestra&szlig;e,55.39,488.54,643.54,2.0,,ground_floor,1930.0
Tiergarten,Beusselstra&szlig;e,48.0,599.0,729.0,2.0,3.0,apartment,1900.0
Hellersdorf,Zossener Str.,81.59,565.88,794.74,4.0,3.0,apartment,1986.0
Friedrichshain,Ebertystra&szlig;e,52.52,814.0,,2.0,0.0,ground_floor,1901.0
Charlottenburg,no_information,138.0,2208.0,2622.0,5.0,5.0,roof_storey,1900.0
Reinickendorf,Rue du Commandant Jean Tulasne,81.9,819.0,1039.41,2.0,3.0,apartment,2019.0
Lichterfelde_Steglitz,no_information,111.96,965.1,1320.1,3.0,2.0,apartment,1989.0
Oberschöneweide_Köpenick,Gau&szlig;stra&szlig;e,40.29,400.0,530.0,2.0,5.0,apartment,1900.0
Kreuzberg,no_information,40.0,1000.0,1200.0,1.0,3.0,apartment,
Wilmersdorf,no_information,82.0,1261.5,1471.5,3.0,3.0,apartment,1910.0
Friedrichshain,no_information,45.55,1400.0,1400.0,2.0,2.0,apartment,
Friedrichshain,Stralauer Platz,58.23,1295.62,1441.19,2.0,10.0,apartment,
Karlshorst_Lichtenberg,Robert-Siewert-Stra&szlig;e,56.0,778.4,873.4,2.0,,apartment,2019.0
Buckow_Neukölln,Alt-Buckow,68.0,650.0,950.0,2.5,,apartment,
Wilmersdorf,Ringbahnstra&szlig;e,60.5,1065.0,1365.0,2.0,0.0,ground_floor,1900.0
Lichtenberg,Weitlingstra&szlig;e,77.0,900.0,1060.0,3.0,3.0,apartment,1917.0
Buckow_Neukölln,Gr&uuml;ner Weg,58.77,450.59,623.91,2.0,1.0,apartment,1958.0
Lichterfelde_Steglitz,K&ouml;nigsbergerstr.,224.0,3400.0,3850.0,5.0,1.0,apartment,1908.0
Wedding,Ruheplatzstra&szlig;e,96.5,693.84,1018.84,3.0,3.0,apartment,1981.0
Niederschöneweide_Treptow,Schnellerstra&szlig;e,30.15,603.0,693.45,1.0,6.0,roof_storey,
Friedrichsfelde_Lichtenberg,Alfred-Kowalke-Stra&szlig;e,61.03,893.92,1061.92,2.0,6.0,,2018.0
Wedding,Koloniestr.,29.0,850.0,,1.0,6.0,roof_storey,2018.0
Adlershof_Treptow,Hoffmannstra&szlig;e,70.0,750.0,970.0,2.5,3.0,,
Friedrichsfelde_Lichtenberg,Alt-Friedrichsfelde,67.21,649.0,859.0,2.5,3.0,apartment,1912.0
Mitte,K&ouml;penicker Stra&szlig;e,40.0,1350.0,1350.0,2.0,,apartment,
Johannisthal_Treptow,Johannes-Werner-Str.,87.0,1250.0,1415.0,3.0,2.0,apartment,1911.0
Lichterfelde_Steglitz,Celsiusstr.,105.16,818.15,1132.84,3.5,1.0,apartment,1970.0
Reinickendorf,Romanshorner Weg,43.06,800.0,900.0,2.0,,ground_floor,1925.0
Weißensee,Bizestr.,53.02,1060.0,1220.0,2.0,0.0,other,2019.0
Prenzlauer_Berg_Prenzlauer_Berg,Stargarder Str,70.0,1160.0,1400.0,2.0,2.0,apartment,
Hellersdorf,Alte Hellersdorfer Str.,69.4,525.19,732.84,3.0,3.0,apartment,1989.0
Johannisthal_Treptow,K&ouml;nigsheideweg,47.0,421.77,571.77,1.0,0.0,ground_floor,1905.0
Oberschöneweide_Köpenick,Wilhelminenhofstra&szlig;e,107.3,999.0,1229.0,3.0,3.0,apartment,1904.0
Tiergarten,Rudolf-von-Gneist-Gasse,93.0,1570.0,1989.0,3.0,4.0,apartment,1998.0
Mitte,Boyenstra&szlig;e,97.41,1704.68,1996.9,3.0,6.0,roof_storey,2018.0
Mitte,Wallstra&szlig;e,82.75,1595.0,1845.0,3.0,1.0,apartment,2020.0
Marzahn,Auersbergstra&szlig;e,68.82,420.14,594.0,3.0,5.0,apartment,1979.0
Alt_Hohenschönhausen_Hohenschönhausen,Plauener Str.,113.61,1158.82,1453.82,4.0,0.0,raised_ground_floor,1997.0
Tiergarten,Heidestra&szlig;e,108.05,2220.43,2544.58,4.0,4.0,apartment,2019.0
Prenzlauer_Berg_Prenzlauer_Berg,Rykestr.,49.9,1198.0,1321.0,2.0,0.0,apartment,1906.0
Friedrichshain,Erich-Nehlhans Stra&szlig;e,48.0,860.0,990.0,1.5,3.0,apartment,2019.0
Schöneberg,Overbeckstr.,94.0,1142.12,1471.96,3.5,1.0,apartment,1940.0
Weißensee,Behaimstra&szlig;e,63.54,634.76,817.15,1.0,2.0,apartment,1890.0
Charlottenburg,Kaiserdamm,74.73,995.0,1245.0,3.0,1.0,apartment,
Kreuzberg,no_information,82.0,1555.0,1725.0,2.0,4.0,apartment,1900.0
Lichterfelde_Steglitz,DorstenerStr.,68.86,486.15,706.15,2.5,2.0,apartment,1978.0
Mitte,Voltairestra&szlig;e,143.54,3265.42,4135.29,3.5,10.0,apartment,
Prenzlauer_Berg_Prenzlauer_Berg,Bornholmer Stra&szlig;e,85.36,1349.0,,3.0,3.0,apartment,1910.0
Mitte,Oberwallstra&szlig;e,109.0,1450.0,1850.0,1.0,0.0,other,2009.0
Buch_Pankow,Zepernicker Str.,57.5,500.0,687.0,1.0,0.0,terraced_flat,2015.0
Neukölln,Aronsstr.,64.0,589.0,799.0,2.0,0.0,apartment,1974.0
Zehlendorf,Eschershauser Weg,52.0,690.0,856.0,2.0,0.0,apartment,1930.0
Lankwitz_Steglitz,Charlottenstr.,37.0,449.0,544.0,1.0,1.0,ground_floor,1955.0
Charlottenburg,Dovestra&szlig;e,42.0,699.0,999.0,1.0,1.0,apartment,1997.0
Niederschöneweide_Treptow,Spreestr.,71.98,735.0,942.0,2.0,2.0,apartment,1900.0
Tiergarten,Heidestra&szlig;e,98.04,1666.68,1960.8,3.0,0.0,ground_floor,2019.0
Schöneberg,no_information,60.76,1094.0,1234.0,2.0,3.0,apartment,1905.0
Friedrichshain,Landsberger Allee,54.95,1000.0,1150.0,2.0,6.0,apartment,1967.0
Weißensee,Rennbahnstr.,75.0,816.0,994.0,2.0,1.0,apartment,1913.0
Mitte,Unter den Linden,260.0,4415.0,5705.0,3.0,,other,2011.0
Köpenick,Gr&uuml;nauer Str.,69.26,713.0,900.0,3.0,2.0,apartment,1994.0
Wedding,Hochst&auml;dter Str.,70.94,695.64,,2.0,0.0,,1902.0
Neukölln,Mariendorfer Weg,112.31,1621.76,1958.69,3.0,0.0,ground_floor,1917.0
Reinickendorf,no_information,88.0,1144.0,1408.0,3.0,,apartment,1900.0
Französisch_Buchholz_Pankow,Nantesstra&szlig;e,74.68,990.0,1215.0,2.0,4.0,roof_storey,2019.0
Mitte,Wallstra&szlig;e,107.89,1790.0,2080.0,4.0,2.0,apartment,2020.0
Kreuzberg,Katzbach,56.0,870.0,1082.0,2.0,0.0,ground_floor,
Rosenthal_Pankow,Hauptstr.,51.0,1290.0,1290.0,2.0,3.0,,2018.0
Biesdorf_Marzahn,Joachim-Ringelnatz-Stra&szlig;e,56.44,451.52,605.55,2.0,4.0,roof_storey,1995.0
Mitte,Falkoniergasse,151.4,4985.0,,4.0,3.0,apartment,2018.0
Waidmannslust_Reinickendorf,Tegernauer Zeile,33.0,290.0,430.0,1.0,0.0,apartment,1971.0
Wilmersdorf,Schlangenbader Stra&szlig;e,99.91,967.13,1332.37,4.0,2.0,apartment,1974.0
Zehlendorf,no_information,235.0,3500.0,4000.0,6.0,,roof_storey,2015.0
Buckow_Neukölln,Parksiedlung Spruch,59.33,533.97,809.34,1.5,1.0,apartment,1995.0
Neukölln,Delbr&uuml;ckstra&szlig;e,3.0,1584.8,1970.8,99.5,3.0,apartment,2018.0
Spandau,Hinter den G&auml;rten,74.29,497.0,720.99,3.0,1.0,,1977.0
Mitte,Boyenstra&szlig;e,115.38,1961.46,2307.6,4.0,5.0,apartment,2013.0
Mitte,Boyenstra&szlig;e,131.92,2242.64,2638.4,5.0,4.0,apartment,2013.0
Friedrichshain,Corinthstrasse,60.78,1025.0,1320.0,2.0,2.0,,1919.0
Köpenick,Gr&uuml;nauer Strasse,47.63,430.0,630.0,2.0,0.0,apartment,1994.0
Prenzlauer_Berg_Prenzlauer_Berg,Sch&ouml;nhauser Allee 140,138.96,2419.0,,3.0,2.0,apartment,1912.0
Siemensstadt_Spandau,Natalissteig,59.43,669.0,869.0,2.0,0.0,ground_floor,1930.0
Friedrichsfelde_Lichtenberg,L&ouml;wenberger Stra&szlig;e,32.5,528.13,628.93,1.0,,apartment,2020.0
Reinickendorf,Hausotterstra&szlig;e,55.05,661.0,798.0,2.0,1.0,apartment,1993.0
Spandau,Kulbeweg,60.19,541.7,683.7,2.0,4.0,roof_storey,2003.0
Prenzlauer_Berg_Prenzlauer_Berg,Jablonskistra&szlig;e,30.0,1100.0,,2.0,2.0,,2017.0
Pankow,Thulestra&szlig;e,54.17,800.0,900.0,1.0,2.0,apartment,1900.0
Wittenau_Reinickendorf,Oranienburger Stra&szlig;e,60.0,900.0,1068.0,2.0,1.0,other,
Tiergarten,no_information,68.0,940.0,1090.0,2.0,,ground_floor,
Wedding,Gerichtstra&szlig;e,19.5,460.0,536.0,1.0,,ground_floor,2018.0
Köpenick,Borgmannstra&szlig;e,49.96,514.94,599.94,1.5,3.0,apartment,1906.0
Schöneberg,no_information,250.0,2450.0,,7.0,1.0,,
Charlottenburg,Kantstra&szlig;e,80.0,1290.0,1410.0,2.0,5.0,roof_storey,1919.0
Marienfelde_Tempelhof,Marienfelder Allee,93.52,1227.0,1485.0,3.0,0.0,ground_floor,2018.0
Mitte,Stallschreiberstra&szlig;e,40.0,1230.0,1390.0,2.0,3.0,apartment,2019.0
Prenzlauer_Berg_Prenzlauer_Berg,Prenzlauer Allee,71.93,812.81,988.06,3.0,3.0,other,1889.0
Wedding,Reinickendorfer Str.,57.4,976.0,1202.0,2.0,2.0,apartment,1969.0
Friedrichshain,Erich-Nehlhans-Stra&szlig;e,64.0,1120.0,1290.0,2.0,1.0,apartment,2019.0
Prenzlauer_Berg_Prenzlauer_Berg,Rykestr.,96.69,2901.0,3144.0,4.0,,apartment,1906.0
Charlottenburg,Leibnizstr.,52.0,649.0,819.0,2.0,5.0,apartment,1900.0
Mitte,Holzmarktstra&szlig;e,72.93,1320.0,1500.0,3.0,5.0,apartment,1969.0
Köpenick,Lindenstra&szlig;e,29.12,611.52,758.88,1.0,4.0,apartment,
Köpenick,Lindenstra&szlig;e,44.05,569.0,682.65,1.5,1.0,apartment,1996.0
Steglitz,Halskestr.,67.6,700.0,890.0,2.0,3.0,apartment,1910.0
Wedding,Gerichtstrasse,18.2,435.0,500.0,1.0,3.0,ground_floor,
Friedrichshain,Stralauer Allee,136.0,2717.0,3117.0,4.0,5.0,other,2019.0
Marzahn,Poelchaustr.,67.05,501.52,725.0,3.0,3.0,apartment,1978.0
Tiergarten,Heidestra&szlig;e,96.97,1740.61,2031.52,3.0,2.0,ground_floor,2019.0
Schöneberg,Wexstra&szlig;e,23.37,530.0,647.0,1.0,0.0,ground_floor,
Friedrichshain,W&uuml;hlischstra&szlig;e,49.48,791.68,941.68,1.0,1.0,apartment,
Mitte,Strelitzerstr,60.93,1157.0,1377.0,2.0,1.0,apartment,2001.0
Dahlem_Zehlendorf,Hittorftsr,262.0,3000.0,3500.0,7.0,2.0,roof_storey,1986.0
Köpenick,Mittelheide,68.46,718.83,972.13,2.0,3.0,roof_storey,1930.0
Neukölln,Karlsgartenstra&szlig;e,42.49,567.0,694.0,1.5,1.0,apartment,1910.0
Buckow_Neukölln,Parksiedlung Spruch,66.83,634.89,932.48,2.0,0.0,ground_floor,1995.0
Tempelhof,Alarichstra&szlig;e,73.7,1032.0,1207.0,3.0,0.0,apartment,1925.0
Wedding,Koloniestr.,29.0,850.0,,1.0,,roof_storey,2018.0
Friedrichshain,Finowstra&szlig;e,89.44,1435.0,1775.0,2.0,5.0,roof_storey,1900.0
Lichtenberg,R&uuml;digerstra&szlig;e,63.0,536.22,803.16,2.5,,ground_floor,
Mitte,Chausseestr. 37 C,70.4,1393.92,1598.17,2.0,6.0,apartment,2016.0
Karow_Weißensee,Am Hohen Feld,68.64,586.54,783.87,1.5,,ground_floor,1998.0
Lichterfelde_Steglitz,Morgensternstra&szlig;e,77.88,717.27,909.27,4.0,2.0,apartment,1957.0
Prenzlauer_Berg_Prenzlauer_Berg,Gethsemane Stra&szlig;e,76.76,970.0,1134.0,3.0,0.0,ground_floor,1920.0
Grünau_Köpenick,Regattastra&szlig;e,67.61,858.65,1022.44,2.0,2.0,apartment,2017.0
Lichtenrade_Tempelhof,Kloster-Zinna-Str.,67.94,511.44,,3.0,2.0,apartment,1984.0
Schmargendorf_Wilmersdorf,no_information,106.92,1659.0,1962.0,2.0,5.0,penthouse,2008.0
Mitte,Boyenstra&szlig;e,115.6,1965.2,2312.0,4.0,2.0,apartment,2013.0
Dahlem_Zehlendorf,no_information,344.0,5000.0,5550.0,9.0,,maisonette,1910.0
Charlottenburg,Kaiserin- Augusta-Allee,52.0,730.0,852.0,2.0,3.0,apartment,1900.0
Wilmersdorf,no_information,87.76,2262.0,2613.04,3.0,5.0,,
Steglitz,Borstellstra&szlig;e,56.0,728.0,883.0,2.0,1.0,apartment,
Lichterfelde_Steglitz,Fahrenheitstra&szlig;e,38.89,599.0,689.0,1.0,1.0,apartment,1968.0
Charlottenburg,Otto-Suhr-Allee,65.61,1096.67,1310.67,2.0,,apartment,2016.0
Wedding,B&auml;rbel-Bohley-Ring,20.5,581.0,680.0,1.0,5.0,apartment,2017.0
Mitte,Brunnenstra&szlig;e,25.0,770.0,,1.0,1.0,,
Wedding,Reinickendorfer Stra&szlig;e,98.98,1500.0,1700.0,3.0,3.0,apartment,1886.0
Johannisthal_Treptow,Sterndamm,87.88,1010.62,1271.62,3.0,1.0,apartment,2015.0
Spandau,no_information,33.0,460.0,565.0,1.0,1.0,apartment,1936.0
Schmargendorf_Wilmersdorf,Rheinbabenallee,76.0,1250.0,1700.0,3.0,1.0,apartment,1965.0
Tiergarten,Heidestra&szlig;e,97.87,1771.45,2065.06,4.0,3.0,apartment,2019.0
Friedrichshain,no_information,125.41,3200.0,,3.0,4.0,roof_storey,1900.0
Pankow,no_information,60.0,1100.0,1100.0,2.0,0.0,terraced_flat,1899.0
Friedrichshain,Rigaer Stra&szlig;e,53.22,864.83,1021.77,2.0,,apartment,2019.0
Schmargendorf_Wilmersdorf,Kolberger Platz,95.0,1420.0,1640.0,3.5,1.0,apartment,1901.0
Lichterfelde_Steglitz,Frank-L.-Howley-Weg,113.7,1650.0,1800.0,4.5,3.0,apartment,2016.0
Reinickendorf,Eichborndamm,40.62,600.0,700.0,1.0,1.0,apartment,1915.0
Charlottenburg,Am Rupenhorn,151.58,1855.0,2244.0,3.0,3.0,roof_storey,1993.0
Wedding,Hochstra&szlig;e,56.11,663.0,808.0,2.0,4.0,apartment,1958.0
Lichterfelde_Steglitz,Brauerstra&szlig;e,103.99,1455.0,1735.0,4.0,2.0,apartment,2017.0
Köpenick,Salvador-Allende-Str.,56.0,529.0,649.0,2.0,4.0,apartment,1997.0
Tiergarten,Rostocker Str.,88.2,882.0,1057.0,3.0,3.0,apartment,1893.0
Hellersdorf,Janusz-Korczak-Str.,78.5,699.0,930.0,3.0,2.0,apartment,1996.0
Wilmersdorf,Hektorstra&szlig;e,87.0,1490.0,1800.0,2.0,,raised_ground_floor,
Friedrichshain,Liebigstra&szlig;e,52.0,1250.0,1475.0,2.0,4.0,,2014.0
Tempelhof,no_information,35.0,800.0,970.0,1.0,4.0,apartment,1959.0
Lichterfelde_Steglitz,no_information,76.31,1590.0,1910.0,3.0,1.0,other,2020.0
Tiergarten,Kirchstrasse,54.0,765.0,845.0,2.0,1.0,,1900.0
Charlottenburg,Goethestra&szlig;e,38.0,749.0,917.0,1.0,2.0,apartment,1910.0
Wilmersdorf,Karlsruher Stra&szlig;e,65.5,1200.0,1400.0,2.0,1.0,apartment,2018.0
Treptow,no_information,93.0,1641.0,,3.0,5.0,,2019.0
Tiergarten,Klara Franke Strasse,10.0,660.0,710.0,1.0,6.0,apartment,
Charlottenburg,Dovestra&szlig;e,69.1,1106.0,1376.0,2.0,2.0,apartment,2019.0
Biesdorf_Marzahn,Oberfeldstr.,79.42,920.0,1190.0,4.0,2.0,apartment,1956.0
Friedrichshain,Koppenstr.,71.67,1075.0,1325.0,2.0,1.0,apartment,1904.0
Friedrichshain,Frankfurter Allee,75.6,1150.0,1275.0,2.0,1.0,apartment,1900.0
Mitte,Boyenstra&szlig;e,99.5,1592.0,1830.25,3.0,5.0,apartment,2014.0
Neukölln,Sonnenallee,69.0,659.0,889.0,3.0,12.0,apartment,1971.0
Neukölln,Dieselstra&szlig;e,73.0,699.0,929.0,3.0,10.0,apartment,1973.0
