title,price,size,address,link
Neubau Erstbezug * 3 Zimmer Wohnung im 5.OG * Gäste-WC * Balkon * TG Stellplatz,"2.410,42 €","79,51 m²","Pufendorfstraße 3A-3E, Friedrichshain, Berlin",https://www.immobilienscout24.de/expose/158484560
STACEY | Apartments Mitte (www.stacey.de),995 €,51 m²,"Fischerinsel 13-15, Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/139440647
Home & Co – Easy Living | Fully Furnished All-Inclusive Apartment,649 €,17 m²,"Breite Straße 42 B, Schmargendorf, Berlin",https://www.immobilienscout24.de/expose/121008146
11 passende Wohneinheiten: Ein Zuhause voller Vorzüge im Grünen!,996 - 2.534 €,"42,00 - 114,00 m²","Grünauer Straße 15, 12524 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/streletzki-gruppe/gruenfinken/133771.html
4 passende Wohneinheiten: Über den Dächern Berlins warten bezugsfertige Maisonette-Wohnungen am Ku'damm auf Sie!,3.780 - 5.987 €,"125,00 - 200,00 m²","Kurfürstendamm 69, 10709 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/grand-city-property-ltd-zweigniederlassung-deutschland/ueber-den-daechern-des-berliner-boulevards/139838.html
Neubau-Erstbezug! Riesengroße 2-Zimmer-Wohnung inkl. Einbauküche und Loggia,1.435 €,"65,48 m²","Biedenkopfer Str. 44-54, Tegel, Berlin",https://www.immobilienscout24.de/expose/151893242
Wunderschöne 3-Zimmer-Wohnung mit großer Terrasse und eigenem Abstellraum (Erstbezug!),1.740 €,"75,47 m²","Biedenkopfer Str. 44-54, Tegel, Berlin",https://www.immobilienscout24.de/expose/154255534
"45 passende Wohneinheiten: Pufendorfstraße 3 d u. 3 e, 10249 Berlin",1.342 - 3.625 €,"46,00 - 120,00 m²","Pufendorfstraße 3d, 10249 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/pandion-servicegesellschaft-mbh/midtown-berlin/138772.html
Stilvoll wohnen mit Sonne & Komfort – 3 Zimmer mit zwei Balkonen,"2.541,65 €","126,62 m²","Chausseestraße 41B, Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159056090
Dämeritzer Ufer - 2 Zimmer mit großer Südterrasse,1.099 €,"68,46 m²","Abendseglersteig 55, Rahnsdorf, Berlin",https://www.immobilienscout24.de/expose/159901980
PARAGON APARTMENTS - Teilmöblierte Neubauwohnungen mit 36qm Terrasse,1.649 €,"72,18 m²","Danziger Straße 73, Prenzlauer Berg, Berlin",https://www.immobilienscout24.de/expose/158077178
Charmante Neubauwohnung im Erstbezug mit Balkon und offenen Wohn- Essbereich!,1.350 €,"58,02 m²","Martin Luther Str. 50, Schöneberg, Berlin",https://www.immobilienscout24.de/expose/159857741
Penthouse im ERSTBEZUG in Zentraler City West Lage!  *EBK / Aufzug / 2 Balkone*,2.800 €,"93,5 m²","Martin-Luther Str. 50, Schöneberg, Berlin",https://www.immobilienscout24.de/expose/159859323
1 passende Wohneinheit: Idyllisches Wohnen im Herzen der Stadt am Ufer der Spree,1.000 - 5.700 €,"38,00 - 144,00 m²","Wilhelm-Caspar-Wegely-Platz, 10623 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/cannon-berlin-ltd/no-1-charlottenburg/96160.html
Heimathafen 8 Berlin Altglienicke,"615,55 €","28,63 m²","Grünauer Straße 26, Altglienicke, Berlin",https://www.immobilienscout24.de/expose/158916732
Exklusive City-Wohnung am Checkpoint Charlie – Urbanes Wohnen im Herzen Berlins,2.200 €,80 m²,"Kreuzberg, Berlin",https://www.immobilienscout24.de/expose/159693674
"5 passende Wohneinheiten: Moderne Neubau-Wohnungen für Singles, Paare und Familien",1.056 - 2.336 €,"47,00 - 115,00 m²","Lion-Feuchtwanger Straße 61, 12619 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/best-place-immobilien-gmbh/urban-yards/139241.html
"Spreeduett - Erstbezug in Spindlersfeld mit Parkett, EBK, Duschbad und Balkon zum 01.09.2025",1.375 €,"65,43 m²","Carl-Spindler-Straße 19, Köpenick, Berlin",https://www.immobilienscout24.de/expose/158506685
1 Zimmer mit Garten im Erdgeschoss - HAVELUFER Quartier,768 €,"29,47 m²","Am Maselakepark 31, Hakenfelde, Berlin",https://www.immobilienscout24.de/expose/159072149
Elegantes Wohnen: 2-Zimmer-Wohnung in Friedenau mit Balkon und Einbauküche,1.570 €,"60,94 m²","Friedenauer Höhe 17, Friedenau, Berlin",https://www.immobilienscout24.de/expose/158359756
Elegantes Wohnen: 2-Zimmer-Wohnung mit moderner Einbauküche und Balkon,1.640 €,"62,15 m²","Friedenauer Höhe 13, Friedenau, Berlin",https://www.immobilienscout24.de/expose/158139401
Wunderschöne 4 Zimmer - Gartengeschosswohnung * Terrasse/Gartenanteil * Einbauküche * TG Stellplatz,"2.844,86 €","107,5 m²","Pufendorfstraße 3A-3E, Friedrichshain, Berlin",https://www.immobilienscout24.de/expose/158506951
"7 passende Wohneinheiten: Your Home, Your Peace",985 - 3.300 €,"37,83 - 143,32 m²","Friedenauer Höhe 19, 12159 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/mueller-merkle-immobilien-gmbh/frieda-s/132718.html
Schöne 1-Zimmer-Wohnung mit EBK Erstbezug,570 €,38 m²,"Wartenberger Weg 2 F, Malchow, Berlin",https://www.immobilienscout24.de/expose/158723004
Wunderschöne Wohnung in sanierter Stadtvilla + PKW Stellplatz,3.636 €,"151,5 m²","Ballenstedter Str. 10, Wilmersdorf, Berlin",https://www.immobilienscout24.de/expose/154822033
"Dämeritzer Ufer - Dachgeschoss mit großer Terrasse, Parkett und EBK",1.049 €,"69,39 m²","Abendseglersteig 55, Rahnsdorf, Berlin",https://www.immobilienscout24.de/expose/159901969
Dämeritzer Ufer,1.499 €,"89,65 m²","Abendseglersteig 55, Rahnsdorf, Berlin",https://www.immobilienscout24.de/expose/159633166
"Willkommen zuhause: Wohnen auf zwei Ebenen mit viel Raum, Einbauküche und Terrasse","2.217,80 €","97,91 m²","Lion-Feuchtwanger Straße 61, Hellersdorf, Berlin",https://www.immobilienscout24.de/expose/158820316
Exklusiv möblierte Altbauwohnung nahe des Kurfürstendamms,4.200 €,143 m²,"Charlottenburg, Berlin",https://www.immobilienscout24.de/expose/159909312
Großzügige familienfreundliche Wohnung mit zwei sonnigen Terrassen,"6.514,59 €","264,55 m²","Voßstr. 26, Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/87694085
3 Zimmerwohnung über 2 Etagen im Herzen von Berlin,"4.852,80 €","228,11 m²","Leipziger Str. 129, Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/92924595
16 passende Wohneinheiten: Finden Sie Ihren Lieblingsplatz – mitten in Berlin-Weißensee.,960 - 2.990 €,"27,79 - 127,20 m²","Lehderstraße 26-27, 13806 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/bewocon-berliner-wohnbau-consult-gmbh/lehder-quartier/137288.html
Erstbezug in stilvoll sanierter Altbauwohnung          am Olivaer Platz,2.450 €,86 m²,"Charlottenburg, Berlin",https://www.immobilienscout24.de/expose/159285110
Modern & zentral – Stilvolle 2-Zimmer-Wohnung in begehrter Lage,1.400 €,70 m²,"Charlottenburg, Berlin",https://www.immobilienscout24.de/expose/159010169
All Inclusive! Wunderschöne möblierte 2 Zimmer Wohnung-Direkt am Wasser nahe Hauptbahnhof,1.950 €,53 m²,"Lydia-Rabinowitsch-Straße 20, Moabit, Berlin",https://www.immobilienscout24.de/expose/141609377
Sehr schöne sanierte helle 3-Zimmer Wohnung mit Balkon und gemeinsamen Mietergarten zu vermieten!,"1.158,15 €","77,21 m²","Waldstraße 57, Reinickendorf (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159879968
7 passende Wohneinheiten: Spreeduett - Erstbezug in Spindlersfeld zum 01.10.2025,1.100 - 2.500 €,"48,00 - 121,00 m²","Carl-Spindler-Straße 19, 12555 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/strategis-ag/spreeduett/137392.html
"Spreeduett - große 4 Zimmer mit Parkett, EBK und 2 Bädern im Erstbezug zum 01.09.2025",1.999 €,"121,39 m²","Wäscherinnenweg 2, Köpenick, Berlin",https://www.immobilienscout24.de/expose/159561401
"Hochwertige, 29 m² große 1,5-Zimmerwohnung mit Panoramablick und Concierge Nähe Hauptbahnhof",1.130 €,29 m²,"Lehrter Straße 24 B, Moabit, Berlin",https://www.immobilienscout24.de/expose/158267859
All Inclusive Miete! Wunderschöne 2 Zimmerwohnung in perfekter Mitte Lage am Check Point Charlie,1.790 €,37 m²,"Charlottenstraße 19, Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/143833864
Tolle Neubau 3 Zimmerwohnung in perfekter Mitte-Lage !,1.850 €,70 m²,"Schützenstraße 41, Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159652294
Luxuriöses Penthouse: Exklusive 4-Zimmer-Wohnung mit Dachterasse und Einbauküche,3.385 €,"143,29 m²","Friedenauer Höhe 17, Friedenau, Berlin",https://www.immobilienscout24.de/expose/154321207
Moderne City-Oase im Europaviertel – Ihr neues Zuhause wartet,2.250 €,"109,29 m²","George-Stephenson-Straße 20, Moabit, Berlin",https://www.immobilienscout24.de/expose/159107836
Die Zukunft des Wohnens: Moderne Wohnung im Europaviertel,1.350 €,"67,01 m²","Moabit, Berlin",https://www.immobilienscout24.de/expose/159653899
Komfortables 3-Zimmer-Apartment mit zentraler Anbindung,1.860 €,"88,37 m²","Heidestraße 39, Moabit, Berlin",https://www.immobilienscout24.de/expose/159108039
Wohnen im Zentrum: 1-Raum-Wohnungen für Stadtliebhaber,1.045 €,"40,31 m²","Lisa-Fittko-Straße 11, Moabit, Berlin",https://www.immobilienscout24.de/expose/159803205
16 passende Wohneinheiten: Wohnen mitten in Mitte – Urbaner Komfort mit perfekter Anbindung,785 - 2.900 €,"35,00 - 92,00 m²",10557 Berlin,https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/mueller-merkle-immobilien-gmbh/europacity-ensembles/137210.html
Ruhiges Wohnen im Grunewald nahe Roseneck für 3 Jahre,2.750 €,"130,29 m²","Dünkelbergsteig 11, Schmargendorf, Berlin",https://www.immobilienscout24.de/expose/159896585
5 passende Wohneinheiten: MOA WOOD -,1.050 - 1.550 €,"33,44 - 49,37 m²","Stendaler Straße 1, 10559 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/anh-hausbesitz-gmbh-co-kg/moa-wood-stendaler-str-1-10559-berlin/129699.html
Schöne 2-Zimmer-DG-Wohnung mit EBK,1.030 €,65 m²,"Wartenberger Weg 2 c, Malchow, Berlin",https://www.immobilienscout24.de/expose/159874490
* EXKLUSIVE PENTHOUSE-WOHNUNG MIT GROßER TERRASSE *  WOHNANLAGE MIOS,1.754 €,95 m²,"Pölnitzweg 69, Buch, Berlin",https://www.immobilienscout24.de/expose/158727739
All-Inclusive Miete ! Hochwertige 2-Zimmerwohnung im 9. OG am Potsdamer Platz mit Traumblick,1.990 €,55 m²,"Gabriele-Tergit-Promenade 21, Tiergarten, Berlin",https://www.immobilienscout24.de/expose/159442718
6 passende Wohneinheiten: Vollmöblierte Design-Apartments in Friedrichshain/ Fully furnished design apartments,995 - 1.880 €,"18,92 - 70,40 m²","Kreutzigerstraße 14, 10247 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/comood-gmbh/savvy-berlin/105761.html
Erstbezug! Lichtdurchflutetes Studio direkt am Tempelhofer Hafen,"1.237,50 €",50 m²,"Tempelhof, Berlin",https://www.immobilienscout24.de/expose/159141336
Spreeduett - Dachgeschoss mit 20 qm Terrasse in Spindlersfeld zum 01.09.2025,1.110 €,"48,03 m²","Carl-Spindler-Straße 19, Köpenick, Berlin",https://www.immobilienscout24.de/expose/157477787
PARAGON APARTMENTS - 2-Zimmer-Wohnung in bester Lage,1.649 €,"75,52 m²","Danziger Straße 73, Prenzlauer Berg, Berlin",https://www.immobilienscout24.de/expose/159724098
Wunderschöne 4 Zimmer - Gartengeschosswohnung * Terrasse/Gartenanteil * Einbauküche * TG Stellplatz,"2.908,57 €","110,67 m²","Pufendorfstraße 3A-3E, Friedrichshain, Berlin",https://www.immobilienscout24.de/expose/158465617
BERLIN - Doppel Apartment in zentraler Lage,750 €,24 m²,"Koloniestr. 11/12, Gesundbrunnen, Berlin",https://www.immobilienscout24.de/expose/159004880
BERLIN - Doppel Apartment in zentraler Lage,750 €,24 m²,"Koloniestr. 11/12, Gesundbrunnen, Berlin",https://www.immobilienscout24.de/expose/159275477
Studenten WG für 2 Personen,630 €,52 m²,"Eichbuschallee 55, Plänterwald, Berlin",https://www.immobilienscout24.de/expose/159273451
Moderne 2 Zimmerwohnung im Zentrum von Berlin,"1.961,61 €","93,41 m²","Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/151857905
Großzügiges Townhouse mit Terrasse im Herzen von Berlin Mitte,"6.072,78 €","275,73 m²","Leipziger Str. 129, Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/87202149
PARAGON APARTMENTS - Hochwertiges Wohnen in bester Lage!,3.209 €,"168,23 m²","Danziger Straße 73, Prenzlauer Berg, Berlin",https://www.immobilienscout24.de/expose/157766882
Charmantes WG-Zimmer in Altbauwohnung im Herzen von Alt-Treptow!,600 €,12 m²,"Bouchestraße 37, Alt-Treptow, Berlin",https://www.immobilienscout24.de/expose/159002522
Wunderschöne 2-Zimmerwohnung in Bestlage. Erstbezug & mit Concierge-Service.,2.090 €,68 m²,"Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159830039
PARAGON APARTMENTS - moderne Wohnung mit Einbauküche,1.099 €,"42,71 m²","Danziger Straße 73, Prenzlauer Berg, Berlin",https://www.immobilienscout24.de/expose/159774651
DAHME & KÖNIG - Einzigartige Wohnung mit offener Wohnküche und Garten und optionalem Bootsanleger,1.499 €,"70,54 m²","Grünauer Straße 29, Köpenick, Berlin",https://www.immobilienscout24.de/expose/157287094
"PARAGON - großes, möbliertes Apartment in Prenzlauer Berg",3.149 €,"149,68 m²","Danziger Straße 73, Prenzlauer Berg, Berlin",https://www.immobilienscout24.de/expose/159774628
Erstbezug: Stilvoller Altbau in Bestlage am Walter-Benjamin-Platz,4.500 €,182 m²,"Charlottenburg, Berlin",https://www.immobilienscout24.de/expose/159303845
Möblierte Luxuswohnung im Herzen von Grunewald,11.500 €,248 m²,"Schmargendorf, Berlin",https://www.immobilienscout24.de/expose/158487043
Gepflegter Altbau in ruhiger Lage                                unweit des Halensees,3.490 €,208 m²,"Halensee, Berlin",https://www.immobilienscout24.de/expose/159660344
1-Zimmer-Apartment der Extraklasse: Vollmöbliert inkl. aller NK,680 €,21 m²,"Rennbahnstraße 83-84, Weißensee, Berlin",https://www.immobilienscout24.de/expose/156209307
"helle 3 Zimmer mit Parkett, EBK, Duschbad und Balkon in Friedenau",1.800 €,"70,9 m²","Friedenauer Höhe 23, Friedenau, Berlin",https://www.immobilienscout24.de/expose/158434661
Unglaublich schöne 3 Zimmer Wohnung in zentraler Umgebung in Friedrichshain.,1.840 €,67 m²,"Wilhelmine-Gemberg-Weg 1, Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/147555989
Super gut gelegene und toll geschnittene 2 Zimmer Wohnung in direkter Umgebung des KaDeWe,1.720 €,"50,14 m²","Nürnberger Straße 68, Schöneberg, Berlin",https://www.immobilienscout24.de/expose/148684843
Moderne 4-Zimmer Wohnung in Kreuzberg beliebtester Gegend direkt am Wasser,1.770 €,"86,06 m²","Forster Straße 36-37, Kreuzberg, Berlin",https://www.immobilienscout24.de/expose/150469132
"Blueground ID350, Alt-Treptow",1.090 €,"43,43 m²","Bouchéstraße 17, Alt-Treptow, Berlin",https://www.immobilienscout24.de/expose/159347665
"Blueground ID348, Alt-Treptow",1.140 €,"66,61 m²","Bouchéstraße 17, Alt-Treptow, Berlin",https://www.immobilienscout24.de/expose/159202243
"Blueground ID347, Alt-Treptow",1.150 €,61 m²,"Bouchéstraße 17, Alt-Treptow, Berlin",https://www.immobilienscout24.de/expose/159202242
"Blueground ID344, Alt-Treptow",1.100 €,"62,4 m²","Bouchéstraße 17, Alt-Treptow, Berlin",https://www.immobilienscout24.de/expose/159202571
Schöne 4 Zimmerwohnung in einem modernen  und beliebten Bezirk,1.880 €,126 m²,"Reichenberger Straße 126, Kreuzberg, Berlin",https://www.immobilienscout24.de/expose/147556025
Hochwertig ausgestattete 2 Zimmer Wohnung in direkter Umgebung des Potsdamer Platz & Nollendorfplatz,1.890 €,61 m²,"Genthiner Straße 51, Tiergarten, Berlin",https://www.immobilienscout24.de/expose/149778645
PARAGON APARTMENTS- wunderschöne Wohnung mit tollem Ausblick,2.649 €,"138,18 m²","Danziger Straße 73, Prenzlauer Berg, Berlin",https://www.immobilienscout24.de/expose/157193791
Stilvolle 2-Raum-Wohnung in Berlin Buch (Pankow) ohne Balkon,"847,55 €","77,46 m²","Wiltbergstr. 50 Haus 12b, Buch, Berlin",https://www.immobilienscout24.de/expose/159173369
Lichtdurchflutete 2-Zimmerwohnung,"736,95 €","60,96 m²","Pistoriusstraße 88, Weißensee, Berlin",https://www.immobilienscout24.de/expose/159734766
2-Zimmer in Niederschönhausen - mit Einbauküche und Stellplatz,710 €,"63,43 m²","Blumenthalstraße 32, Niederschönhausen, Berlin",https://www.immobilienscout24.de/expose/159734959
RIDA LUXURY - Berlin-MItte! All in plus! Maisonette LOFT + 2 x Balkon + Hotspot + Designerwohnung,4.990 €,140 m²,"Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/151276272
2-Raum-Wohnung Prenzlauer Berg / Pankow mit EBK,1.500 €,"61,5 m²","Talstr. 5a, Pankow (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159495965
"Exklusive, gepflegte 2,5-Zimmer-Wohnung mit Einbauküche in Berlin Spandau",1.500 €,71 m²,"Neue Bergstraße 1, Spandau (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159938188
*sofort verfügbar* I Attraktive EG-Wohnung mit Terrasse & Möblierung,1.399 €,63 m²,"Lehrter Str. 25a, Moabit, Berlin",https://www.immobilienscout24.de/expose/159937737
"Exklusive, neuwertige 1-Raum-Wohnung mit geh. Innenausstattung mit Balkon und EBK",950 €,27 m²,"Bossestraße 7, Friedrichshain, Berlin",https://www.immobilienscout24.de/expose/159936600
EG-Wohnung I vollständig saniert I sofort verfügbar I Erstbezug I Einbauküche,1.750 €,349 m²,"Richardstraße XX, Neukölln (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159937595
Einzugsbereit & stilvoll: Hochwertige 2-Zimmer-Wohnung mit Südbalkon in Toplage Wittenbergplatz,1.490 €,60 m²,"Tiergarten, Berlin",https://www.immobilienscout24.de/expose/159852472
Nachmieter gesucht in Friedrichshagen!,780 €,43 m²,"Friedrichshagen, Berlin",https://www.immobilienscout24.de/expose/159936149
15 passende Wohneinheiten: Stilvoll wohnen – zwischen Natur und Metropole,908 - 3.225 €,"42,45 - 152,19 m²","Annenallee, 12555 Berlin",https://www.immobilienscout24.dehttps://www.immobilienscout24.de/neubau/allod-immobilien-und-vermoegensverwaltungsges-mbh-co-kg/coe-das-gute-leben-in-koepenick/139861.html
"1 Zimmer mit Balkon, Einbaküche und
Duschbad 964 € - 30 m² - 1.0 Zi.",964 €,30 m²,"Hussitenstraße 6, Gesundbrunnen, Berlin",https://www.immobilienscout24.de/expose/159934753
"Möblierte 2-geschossige Dachgeschosswohnung mit Garten in Berlin Heiligensee, Pauschalmiete",1.050 €,50 m²,"sage 54, Heiligensee, Berlin",https://www.immobilienscout24.de/expose/159812303
Dreizimmer Wohnung mit traumhaftem Wasserblick auf die Rummelsburgerbucht,2.518 €,"93,8 m²","Ingrid-Reschke-Straße 5, Rummelsburg, Berlin",https://www.immobilienscout24.de/expose/159602874
Nur für Studenten! Möbliertes Apartment mitten in Mitte,929 €,"29,96 m²","Alex-Wedding-Straße 3, Mitte (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159792316
"Englisches Viertel/Glasgower Straße: Altbauwohnung Balkon, Dielen und tollem Grundriss!","971,83 €","55,82 m²","Wedding, Berlin",https://www.immobilienscout24.de/expose/159586238
Altbauwohnung mit Balkon dicht Maybachufer im 3.OG - mit starkem Renovierungsbedarf,"999,64 €","109,85 m²","Neukölln (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159492277
Zauberhafte Altbauwohnung im Erstbezug nach Totalmodernisierung zwischen Volkspark und Landwehrkanal,1.799 €,"78,06 m²","Kreuzberg, Berlin",https://www.immobilienscout24.de/expose/159481404
Zauberhafte Altbauwohnung im stilsicheren Erstbezug: Baudenkmal dicht Schillerpark!,2.049 €,"113,06 m²","Wedding, Berlin",https://www.immobilienscout24.de/expose/159415062
Repräsentatives Wohnen in der City-West,3.550 €,189 m²,"Charlottenburg, Berlin",https://www.immobilienscout24.de/expose/159402555
"Anmietung nur mit WBS 140 möglich! Geförderte Altbauwohnung in Berlin-Spandau, Lynarstraße","561,44 €","87,18 m²","Spandau (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159311460
Klassische Altbauwohnung mit Dielen und Balkon im hellen 3.OG: Cornelius-Fredericks-Straße!,"1.585,58 €","111,11 m²","Wedding, Berlin",https://www.immobilienscout24.de/expose/159280084
Zweitbezug nach Komplettmodernisierung: Bildschöne Altbauwohnung mit Parkett und Wannenbad!,"714,38 €","37,65 m²","Moabit, Berlin",https://www.immobilienscout24.de/expose/159225131
"Tolle Altbauwohnung mit Dielenböden - ruhige Lage am Wehneltsteig, mit Renovierungsbedarf","901,85 €","78,15 m²","Siemensstadt, Berlin",https://www.immobilienscout24.de/expose/158885784
"Helles 3.OG mit Aufzug, EBK und Balkon in der Huttenstraße - Zweitbezug/Neubau mit hohem Wohnkomfort",1.079 €,"44,79 m²","Moabit, Berlin",https://www.immobilienscout24.de/expose/158885648
"Nur mit ""WBS mit Dringlichkeit"": Altbauwohnung mit Balkon in der Rathenower Str./Renovierungsbedarf","867,10 €","119,6 m²","Moabit, Berlin",https://www.immobilienscout24.de/expose/158671916
Zauberhafte Altbauwohnung im stilsicheren Erstbezug: Baudenkmal dicht Schillerpark!,2.049 €,"113,07 m²","Wedding, Berlin",https://www.immobilienscout24.de/expose/158643256
Sonnige 3 Zimmer-Wohnung in Steglitz mit großer Garten Terrasse - unbefristet,"1.712,18 €","116,08 m²","Bergstraße 7, Steglitz, Berlin",https://www.immobilienscout24.de/expose/155795606
Sonnige 2 Zimmer mit Südbalkon - vollmöbliert - befristet,1.465 €,60 m²,"Rotherstraße 25, Friedrichshain, Berlin",https://www.immobilienscout24.de/expose/155489664
TAUSCH ONLY SWAP gegen 4-5 Zimmer in Prenzlauer Berg/Pankow/Weißensee/Moabit,980 €,120 m²,"Gesundbrunnen, Berlin",https://www.immobilienscout24.de/expose/159934232
Erstbezug nach Sanierung mit Balkon: freundliche 1-Zimmer-Wohnung in Berlin,650 €,37 m²,"Schöneberg, Berlin",https://www.immobilienscout24.de/expose/159926545
*Erstbezug* Schicke 2-Zimmer-Whg in Berlin-Grünau+++EBK+++Balkon+++Fußbodenheizung,1.080 €,"52,85 m²","Regattastraße 7, Grünau, Berlin",https://www.immobilienscout24.de/expose/159785766
Gemütliche Familienwohnung mit Balkon und Aufzug sucht nach neuen Mietern!,869 €,"71,2 m²","Ahrenshooper Straße 10, Neu-Hohenschönhausen, Berlin",https://www.immobilienscout24.de/expose/159925180
Kuschlige Pärchenwohnung mit Aufzug und Balkon!,689 €,"47,54 m²","Ahrenshooper Straße 14, Neu-Hohenschönhausen, Berlin",https://www.immobilienscout24.de/expose/159925318
Ihre neue Wohnung: ansprechende 3-Zimmer-Wohnung,"770,87 €","74,48 m²","Südekumzeile 49, Staaken, Berlin",https://www.immobilienscout24.de/expose/159920882
Modernisierte Wohnanlage mit guter Verkehrsanbindung.,"496,90 €","38,76 m²","Klemkestr. 86B, Reinickendorf (Ortsteil), Berlin",https://www.immobilienscout24.de/expose/159920883
"Behagliches Wohnen in beliebter Wohnanlage,, Wintergarten, Tiefgaragenstellplatz, Einbauküche","753,49 €","59,33 m²","Parksiedlung Spruch 3 bis 137, Buckow, Berlin",https://www.immobilienscout24.de/expose/158672774
Charmante 1-Zimmer-Wohnung mit Balkon im Herzen von Wilmersdorf,1.150 €,43 m²,"Holsteinische Straße 14, Wilmersdorf, Berlin",https://www.immobilienscout24.de/expose/159904217
